,ANTIG,COMP,PROM,CATEG,COMINT,COMPPRES,RATE,VISIT,DIASSINQ,TASARET,NUMQ,RETRE,TARGET CLASS
60,10.68091886,9810,5.30,4905.13,18774,26467,2.611942879,,1274,0.765125035,6.534360547,21.14821934,0
61,3.808650951,11755,5.76,5877.40,19931,66591,2.350983635,,1235,1.365870185,6.878820343,7.312609826,0
62,10.46707245,7147,3.84,3573.44,28513,42586,2.500994679,,1506,1.309864196,7.307400164,20.09677911,0
63,6.271078874,13025,5.06,6512.31,32501,78577,2.503345837,,1481,0.733629127,7.550207394,12.54215775,0
64,14.21117292,13339,4.19,6669.59,15974,58430,2.352284007,66,842,1.305491681,7.422030208,28.42234585,1
65,7.88278082,11369,2.69,,17648,58820,2.960304453,,874,1.205380983,8.083482456,14.97728356,1
66,17.21779169,11596,3.56,,18948,39774,2.949817991,,988,0.791164891,5.120292573,34.43558338,1
67,8.025839489,10754,5.22,,22908,54647,2.837974293,,1498,1.302882396,8.449942584,15.40961182,0
68,14.42787581,9053,5.79,,20143,66447,1.645205936,67,731,1.55911715,5.75912066,28.85575162,1
69,12.12657785,11276,3.93,,17538,75926,2.418349857,48,1217,1.040812936,7.725134679,24.01062414,0
70,11.98999495,10243,3.72,,13620,46943,1.555925882,63,1487,1.257161363,4.686173016,22.78099041,0
71,8.602556222,15226,4.76,7612.93,14798,32609,2.009023861,,905,1.230928732,6.508016602,17.20511244,0
72,12.25894362,6070,5.83,3035.04,19586,29311,1.913495922,58,1024,1.321100544,6.673170825,23.53717176,1
73,8.728987751,15425,3.95,7712.40,25282,38443,3.37073109,49,1309,1.240755353,6.151783526,17.10881599,0
74,12.61753329,12979,3.82,6489.45,23691,67055,1.391052692,41,1056,1.445058489,5.390461567,24.98271591,1
75,9.314879582,13960,4.65,6980.16,16017,75791,1.976787522,,1365,1.126719809,7.116040825,18.44346157,0
76,5.840248273,13691,6.01,6845.60,32869,51659,3.581806902,,904,0.951434095,5.130179059,11.44688661,0
77,11.46780923,12769,5.78,6384.48,8929,56633,1.576927834,57,1173,1.243157234,5.555344635,22.2475499,1
78,16.13931185,9422,3.48,4710.78,20644,53857,2.550996177,,598,1.378616658,6.083412751,30.66469252,1
79,14.19508077,11009,2.09,5504.30,20104,49993,2.737186665,,745,1.423998993,5.779930877,28.10625992,1
80,15.28581497,12169,4.90,,17498,57239,2.204100126,,911,0.967004263,7.374590102,29.96019735,0
81,14.22579816,17143,4.30,,23129,61338,2.627763798,67,1156,0.969811521,6.680076371,27.02901651,1
82,11.08384726,9968,1.50,,19145,70060,1.559488362,7,877,1.061584299,5.390302774,21.50266368,1
83,13.55599127,9600,3.65,4800.25,17834,62038,1.826945764,42,1098,1.376641089,6.515439406,25.75638341,1
84,8.060709354,10655,4.89,5327.59,5451,58803,1.910730338,,1327,1.053451418,4.521793801,15.96020452,0
85,7.627725084,15004,5.81,7501.83,20587,67544,2.879515136,73,996,0.768383871,8.024349557,14.64523216,0
86,9.490242755,13087,1.47,6543.73,37451,55473,1.524647889,,1219,1.284325337,5.350877582,18.22126609,1
87,11.42215607,6785,5.14,3392.34,27712,58839,2.181217051,8,892,1.598003848,8.277645,21.70209654,1
88,16.429327,8554,5.07,4277.23,28318,57034,1.617532184,,660,1.372614846,6.6943684,31.54430785,1
89,11.68592639,8281,2.02,4140.49,29052,59452,2.431393872,,1038,1.150951337,6.39927665,22.6706972,1
90,8.791098913,7605,4.66,3802.46,11821,57038,2.356199158,,1084,1.470578699,7.474563685,16.70308794,1
91,13.44949098,10619,1.99,5309.53,15037,50144,2.389180691,,1014,1.183358201,6.860596996,26.09201251,1
92,7.88338152,11460,7.09,5730.10,31334,60608,2.188674044,,1230,1.106330723,9.061786414,15.76676304,0
93,15.43891651,7975,2.88,3987.51,16576,49548,1.996345814,,790,1.14935069,5.973471236,29.33394137,1
94,11.70213158,10294,3.63,5146.89,9986,73050,2.701176541,66,845,1.13517243,7.265595285,23.40426316,1
95,9.902859655,9323,5.51,4661.45,27298,47580,1.662344612,,1003,1.885690085,5.577299744,19.01349054,1
96,8.166346705,9473,4.99,,25304,41254,1.689315732,61,1225,1.537893272,7.833595248,16.16936648,1
97,11.44246822,11762,5.24,,26701,28630,3.450686175,45,922,0.65548574,7.189241975,22.65608707,0
98,3.06564497,13221,6.56,6610.41,20239,66197,2.784393842,,1142,1.110882513,6.198843105,5.824725444,0
99,7.531181791,10822,6.32,,9303,53331,2.258274749,,839,0.941614468,7.630294127,14.76111631,0
100,6.177235005,14481,5.84,,28367,49547,3.036733948,,1429,0.975782698,7.752407825,12.10738061,0
101,9.976501472,12050,3.73,6024.94,14507,65460,2.86376753,62,1440,1.274305071,7.120522801,19.15488283,0
102,12.34622728,15933,2.64,,19246,61187,1.955705491,,963,1.090155678,6.5205674,23.95168091,1
103,6.165327232,8762,2.71,,25953,70741,2.955128859,65,811,1.426861301,7.240436932,12.08404137,0
104,9.090502543,12137,2.62,,30665,26679,2.34649645,,1241,1.55619801,6.008796961,17.99919504,1
105,14.92314388,7092,4.42,3546.02,24233,33295,2.218954859,62,608,1.383028652,6.00158986,28.95089913,1
106,3.768963424,12366,3.55,6182.78,14759,51863,3.224076295,64,1002,0.902854853,4.776157894,7.161030506,0
107,7.622755902,8899,7.03,4449.58,29848,48417,3.129731353,,1203,1.446743405,8.093252488,15.2455118,0
108,10.29846379,7589,2.46,3794.43,18612,66470,2.439668378,54,747,1.380659688,6.646390362,20.18498904,1
109,3.718986779,11056,5.57,,27149,69562,2.432947006,,990,1.36725663,6.319468694,7.140454615,0
110,4.118653603,10448,6.04,,18222,65540,3.082003606,,875,1.286970234,6.169760223,8.154934135,0
111,9.243191528,11181,3.35,5590.28,32653,29948,1.102102258,64,969,1.540727285,5.449710509,18.1166554,1
112,10.96538021,8350,3.60,4174.97,16186,50833,1.984061753,33,1035,1.437578385,5.196330605,21.05353,1
113,7.266602057,7295,7.73,,18225,59267,2.572303194,62,1280,0.780276808,6.866221255,13.95187595,0
114,12.22428028,9014,2.21,4507.25,32078,78858,2.472392776,63,1281,1.387332712,7.065310307,24.20407495,1
115,11.62205556,12302,3.10,6150.82,13190,39691,2.089261927,63,1041,1.223523304,7.146315284,22.08190557,1
116,11.63089276,14397,3.03,,16920,67188,2.672713975,,704,0.985507357,7.205089208,22.56393196,0
117,13.26532371,10336,4.27,5168.03,25418,61629,2.341774854,,873,1.637066879,7.953501417,25.46942153,1
118,13.15392379,10152,2.03,5076.06,25782,51887,2.389861769,56,987,1.28593671,7.726901693,25.78169063,1
119,10.77935964,12420,3.90,,5881,59109,2.526165796,64,1036,1.14072056,6.795005057,20.9119577,0
120,9.663830322,8157,3.66,4078.73,23683,55427,2.16337636,,1129,1.507088322,8.517743479,19.13438404,1
121,11.98247716,7217,2.72,3608.56,20652,53727,2.156250562,,832,1.493708437,7.311021534,22.76670661,1
122,12.05998341,8784,3.67,,11331,35257,1.935786587,64,1076,1.09197539,7.090637712,24.11996683,1
123,8.58525076,8576,2.87,4287.95,15532,46876,2.243080919,66,1246,1.393166223,7.165043768,16.65538647,1
124,5.098925999,10883,3.66,5441.74,23965,64619,2.324249764,,1109,0.406916393,7.1463921,9.687959398,0
125,12.45625634,4574,2.50,2287.06,33617,43781,1.886123012,43,1218,1.124056302,5.369783837,23.66688705,1
126,10.32622761,7560,1.74,3780.17,40840,67110,2.870408653,,1427,1.4768544,5.506420361,20.65245522,1
127,4.821586875,10413,5.98,5206.57,24530,57078,1.971041065,57,973,0.811592911,8.314330739,9.353878538,0
128,8.516333662,9774,2.67,,12874,39861,1.913249617,53,1157,1.14061224,6.320259276,16.35136063,1
129,6.245261617,15004,4.40,7502.11,27496,55704,3.513838005,,1212,1.247637001,7.575447346,12.24071277,0
130,12.70471266,12509,3.49,,25843,61363,2.620969647,38,854,0.707269355,7.79678754,24.64714257,1
131,6.390528888,13446,4.11,,13597,46915,1.989054873,,1248,1.207247071,6.935662159,12.39762604,0
132,5.412243129,13622,4.13,6810.96,24663,48904,2.375709391,,1120,0.72667146,5.221355992,10.28326194,0
133,7.621462705,8768,5.00,,19967,60061,1.645466981,57,525,1.136702214,7.716645024,14.9380669,1
134,11.87076542,8997,2.66,,25615,64907,1.160036016,63,936,1.51215205,5.983609743,23.50411552,1
135,11.40212291,10752,2.98,,8007,44376,2.227779733,72,639,1.124048271,5.462294084,21.89207599,1
136,12.93939299,9757,3.90,,19459,60270,1.507869464,6,1134,1.464468304,7.284332595,25.10242239,1
137,7.950592539,10517,2.50,,23858,66606,2.584060318,,824,1.654249262,6.525617454,15.90118508,1
138,6.704032497,13092,6.52,,9000,61210,1.722088021,,973,0.850762049,5.4463537,13.00582305,0
139,7.983924752,12835,5.78,,17052,64086,3.648239372,,1283,1.263856741,7.20796737,15.64849251,0
140,3.288795051,12017,5.11,6008.44,22754,43751,3.073556905,,1426,1.232285444,6.139567576,6.380262399,0
141,13.58275726,11831,1.50,5915.74,26113,65667,2.199409991,62,661,1.164304599,6.062006769,26.07889394,1
142,8.798977219,10113,2.92,5056.25,34236,52344,2.073234502,,374,1.104052318,8.05720364,16.89403626,1
143,12.73019276,8483,4.80,4241.35,30970,55090,2.108756145,6,784,1.163311546,9.269513923,24.44197009,1
144,15.10573641,12840,3.50,6420.12,23905,61370,2.555416319,52,1327,1.203487998,7.108371255,29.00301391,1
145,6.61179333,13662,5.12,6830.89,16585,47244,2.241478255,57,1579,0.951050157,5.73321382,12.56240733,0
146,9.599998399,12031,6.99,6015.65,38188,78834,0.773244302,,1149,1.268263379,5.560525907,18.23999696,0
147,5.288478149,13023,4.97,6511.51,32648,79063,2.416104052,66,1474,0.904555218,7.432708206,10.5769563,0
148,10.18122701,10860,2.20,5429.77,23439,68973,2.500689002,47,1094,1.557236608,5.523293314,19.54795587,1
149,12.19074324,10364,4.50,5181.78,16782,68368,3.017206189,63,813,0.776556834,8.33067973,23.65004189,0
150,7.882733851,7999,2.20,3999.51,20835,46559,2.434364028,,950,1.511933956,5.220967868,15.13484899,1
151,9.227812588,12816,6.38,6407.90,25532,52975,3.207463598,63,1090,1.070601965,8.955030257,17.71740017,0
152,12.35560732,11186,4.04,5592.91,28603,64630,1.570343859,58,939,1.559346016,7.724921122,24.71121464,1
153,13.75083768,12506,2.38,6253.05,21375,55114,1.455486154,,701,1.021473254,6.564992878,26.6766251,1
154,6.820992671,12071,4.43,6035.65,21054,79457,1.876942814,,1242,0.808514138,6.686720918,13.23272578,0
155,5.629320184,9944,3.85,4971.76,28128,55255,2.582732673,,1520,1.235742524,7.618944561,10.92088116,0
156,11.37069593,9245,3.28,4622.32,18007,68484,2.697346181,,1237,1.022498731,8.488945727,22.0591501,0
157,6.674725697,13544,4.64,6771.96,33801,37841,2.591544685,,1458,1.37858694,6.813031228,12.81547334,0
158,4.831585151,7794,7.45,3897.11,40713,63334,3.690393102,66,1140,0.651440285,4.939660589,9.276643491,0
159,6.583841711,9539,3.81,4769.47,23454,64448,1.354229619,48,1317,0.819612254,7.138950093,13.16768342,0
160,5.923523855,12616,5.31,6307.76,33489,90649,2.689254502,7,828,0.806633468,7.399822218,11.49163628,0
161,7.430628499,13727,6.54,6863.52,35437,81769,3.119957964,73,1391,1.36820852,6.729738271,14.26680672,0
162,10.39353821,11127,4.50,5563.53,15120,53988,2.808765417,,1387,0.997082154,7.925743269,19.7477226,0
163,11.11544297,8516,4.70,4258.06,30253,48580,2.828304251,28,733,1.097462055,8.126878207,21.3416505,1
164,8.16943733,9905,6.58,4952.37,12953,59866,2.997474029,,1111,0.76637852,4.874607834,15.52193093,0
165,9.439720704,15668,5.16,7834.21,26811,37874,3.6822484,,1251,1.377817553,6.216757277,18.69064699,0
166,11.15652454,6810,2.68,3404.91,22733,71553,2.682733944,,1064,1.498700323,7.225311489,22.08991859,1
167,8.658354482,12242,3.70,6120.89,21533,43197,1.816500688,,465,0.843615563,7.640244796,16.7972077,1
168,11.6391099,12203,2.67,6101.58,14509,36798,2.635352992,58,1002,1.180739182,6.822326499,22.81265541,1
169,8.501456596,8369,1.59,4184.56,16476,60303,2.511694752,54,980,1.090327477,6.430077116,16.15276753,1
170,7.821790767,10257,4.17,5128.29,24266,51409,3.524196982,42,1156,1.311664336,7.803934152,15.17427409,1
171,9.482615032,9252,4.11,4625.86,17796,41981,2.334280903,56,498,1.265612297,7.474103962,18.58592546,1
172,5.945680473,13252,4.35,6626.24,27804,79878,2.685702371,,1240,0.962824844,8.172371545,11.41570651,0
173,8.188648425,14397,3.20,7198.61,28039,54390,2.859984774,57,1131,0.769110826,8.289708772,15.72220498,0
174,10.9013811,11721,3.42,5860.32,24072,38084,2.015314692,54,1081,1.534558189,7.421583884,21.58473459,1
175,13.49560907,7523,3.01,3761.58,20249,36135,2.548689639,57,1054,1.318216952,7.074981073,25.64165723,1
176,13.66983574,10505,2.99,5252.62,17639,49522,1.807667151,49,804,1.423548172,4.907141486,25.97268791,1
177,11.40063293,10651,4.18,5325.55,26011,74650,1.696906258,,677,1.343373251,8.310755015,21.88921522,1
178,12.56374708,7999,3.64,,14336,54513,1.917962377,,1083,1.415073084,7.413392136,23.87111946,1
179,5.827039679,9432,4.96,,25138,45413,3.226681638,48,1374,0.763711515,7.599015918,11.53753856,0
180,10.39010378,9331,3.88,,23363,60139,3.341648171,41,1140,1.454956357,7.52334737,19.94899925,1
181,8.104955761,11992,3.67,,16321,55330,2.366820043,,1577,0.815069452,6.35341867,16.04781241,0
182,10.32270108,7060,2.57,,28333,87182,2.272872347,,1004,1.256043488,7.013335461,19.61313205,1
183,14.23933865,7190,2.28,,27090,43469,1.817568802,,651,1.114554299,6.795372097,27.3395302,1
184,10.94553521,9641,4.71,,16159,34642,2.625151168,,794,1.502449741,7.395112445,21.67215972,1
185,5.504627059,13466,3.12,,16583,60821,2.456847241,,889,0.925912485,7.32204696,10.56888395,0
186,7.936440748,11023,3.54,,27122,61535,2.855610086,,1488,1.062633384,5.838776149,15.55542387,0
187,6.577819996,11660,7.06,,38627,72673,2.536039766,,1705,1.20192468,6.015165115,12.62941439,0
188,12.37548901,14260,3.76,,25910,60933,1.803491995,62,866,1.472949831,7.516134996,24.75097802,1
189,8.224146531,11208,6.83,,27293,62425,3.283781871,65,1592,0.996340644,7.603484195,15.79036134,0
190,9.330110843,14359,3.94,,26406,64370,1.914141839,57,1446,0.754261474,7.627403228,17.91381282,0
191,7.817737168,9825,4.11,,17759,45924,2.076154083,,1045,0.834877224,8.822715238,15.16641011,0
192,5.680527263,11431,2.21,5715.61,34495,69641,2.225359889,45,1317,0.895111803,6.623557677,11.36105453,0
193,9.008811912,13387,5.13,6693.70,37647,77678,1.380895765,57,986,1.451383505,7.379272218,18.01762382,1
194,7.808017759,14621,4.67,7310.71,30186,74272,3.183741085,,1414,0.941610899,7.951426059,15.61603552,0
195,8.630356152,8094,2.01,4046.77,36769,62705,2.007175977,,1285,1.654772732,5.606860325,17.2607123,1
196,9.828246285,10398,3.77,5199.10,8589,56723,2.278814127,,1433,0.68877821,6.090097236,19.65649257,0
197,11.84571047,12681,6.44,,24655,81925,1.086916079,8,1133,1.249006838,6.465752718,23.69142094,0
198,11.55159048,11870,5.31,,10588,60685,3.122092509,,824,1.275304798,7.113556387,21.94802192,0
199,5.189104514,12066,5.16,,17929,61264,2.680722753,,1597,0.939567021,6.389540095,9.859298577,0
200,10.41028236,12142,2.69,,23641,69174,1.137852583,,875,1.233596748,7.259615513,20.40415343,1
201,10.34458756,12627,4.31,,6026,41739,2.654890992,,814,1.244223783,6.266020303,20.06849987,1
202,16.6737123,9150,2.79,,19114,49212,1.952577928,,967,1.078484585,6.032970555,32.01352761,1
203,7.437263957,10768,5.98,,25332,84263,2.853268294,54,1298,0.884203121,7.819049344,14.87452791,0
204,10.22902033,12989,7.10,6494.63,34801,63841,2.999678825,72,776,1.768134227,5.748214349,19.43513863,1
205,6.990867714,13525,2.83,6762.45,33707,57902,1.745353947,,1563,0.801595033,5.166436899,13.98173543,0
206,5.551450464,15019,5.10,7509.44,24951,50125,3.010083742,,1372,1.477501656,6.090229348,10.54775588,0
207,5.931363988,13256,5.41,6628.00,28829,52535,1.721165048,,1101,0.661568411,6.764471534,11.38821886,0
208,6.769002771,11642,6.24,5820.93,20072,60929,2.911285437,58,1578,0.722335217,6.549645092,13.40262549,0
209,11.3811132,8005,2.52,,35307,47917,1.547245774,69,1009,1.651917666,6.479785708,22.30698186,1
210,5.530773099,10630,5.08,5315.16,32664,74417,2.757674945,71,1461,0.569360913,7.526595957,10.50846889,0
211,7.372008706,7705,3.28,3852.31,28360,63245,2.900802188,48,742,1.203576922,8.206441348,14.44913706,1
212,13.30273475,9515,2.84,,30716,54305,1.94714417,68,1076,1.744034191,6.175329933,25.54125072,1
213,9.325416024,17416,4.42,,34644,67668,1.713090128,,1167,1.154687341,6.860892942,18.09130709,0
214,11.23411751,14958,3.70,7478.89,27307,58000,2.279869508,62,1250,1.617471839,6.741923926,21.56950561,1
215,7.672751532,7976,2.38,3987.98,35537,29684,2.463071012,41,1227,1.307657486,5.889260702,15.34550306,1
216,6.155860404,14264,6.33,,24173,78476,2.838168499,,1289,0.890057393,7.32642804,12.31172081,0
217,8.723558063,14102,4.99,,34870,66678,3.434834111,,1437,1.165427449,8.213855925,16.74923148,0
218,3.681285224,13884,7.22,,30533,66024,3.393430972,,934,1.095248597,6.156801486,7.141693334,0
219,7.170669001,7710,6.89,,26488,59121,3.023294852,,1348,0.63216628,5.731674061,13.76768448,0
220,8.172408661,13535,2.07,6767.49,25575,51523,2.827529358,,1245,1.251112687,7.311228243,16.34481732,0
221,7.880500213,7091,2.56,3545.47,31883,67090,1.702667651,59,716,1.014996098,7.883846572,15.60339042,1
222,9.340120992,9960,3.27,4980.13,16546,50991,3.323197238,,1285,0.890936925,8.01047425,18.30663714,0
223,5.990874887,14447,4.92,7223.51,28642,51776,2.666983283,,1102,1.762923675,4.676638293,11.86193228,1
224,6.077915177,14383,5.42,7191.33,33183,60925,2.894943968,,853,1.226406051,8.623744429,11.54803884,0
225,5.95033387,10354,4.85,5176.94,26274,35123,3.239420449,73,1215,1.078494154,8.493256914,11.42464103,0
226,8.176622696,10028,5.97,5013.89,6644,51441,2.682798424,,1461,0.776747054,5.026844909,16.18971294,0
227,7.504273023,12249,2.18,6124.75,23499,47206,2.339011306,,958,1.593298306,6.372160713,14.70837513,1
228,8.953313062,15818,4.82,7908.87,29131,38916,1.481658684,47,1369,0.76847603,5.506689516,17.72755986,0
229,10.8575903,9285,7.39,4642.40,23282,42886,2.624594932,,610,1.51491617,7.069372272,21.06372518,0
230,9.744726423,10629,3.77,5314.75,19047,43891,1.344419683,63,844,1.511148655,6.857243371,19.29455832,1
231,7.171829149,14481,5.17,7240.56,20052,60207,3.126679277,,937,0.836378439,8.293652021,14.3436583,0
232,5.952016754,14686,5.38,7342.97,15799,39530,2.622465778,,1046,1.10671624,6.572024892,11.30883183,0
233,6.931174559,10770,4.22,5384.94,23710,65115,1.832543718,5,1699,1.026966205,6.037251654,13.44647864,0
234,9.137633876,9589,3.40,4794.67,17833,41918,1.711869917,53,984,1.359248937,7.432227274,17.54425704,1
235,9.468964021,14351,3.03,7175.41,15583,50179,2.33223072,7,668,1.302674936,6.692217736,18.55916948,1
236,5.816590593,10593,4.53,5296.59,57221,64958,3.451876164,,1026,0.842951308,7.195385328,11.51684937,0
237,7.1992734,12975,3.26,6487.48,28691,59359,2.659436506,,1483,0.515960949,6.986422698,13.82260493,0
238,7.64973322,7195,2.04,3597.33,31003,38740,1.900825187,68,688,1.101195553,7.374214687,15.14647178,1
239,9.280982151,10715,1.53,5357.41,19006,61712,2.265183833,42,1075,1.14151898,5.763720041,18.19072502,1
240,11.99887038,14035,3.47,7017.71,21553,58235,3.30268915,,1218,0.804214674,5.643122953,23.99774077,0
241,2.404062646,11448,4.20,5723.78,25446,45741,2.540679992,,1025,0.532245782,5.696951982,4.760044039,0
242,10.94551492,10896,5.34,5447.94,29688,24496,1.276631959,57,955,1.565864454,5.004387271,20.79647835,1
243,6.891806523,11429,4.50,5714.59,21220,60669,2.225440538,24,1146,0.908614354,7.076709931,13.50794078,0
244,7.907559735,11810,3.26,5904.89,21952,74432,2.535433138,,1049,1.513455394,7.615664225,15.65696827,1
245,6.734680396,11705,5.79,5852.36,32969,69644,2.622654722,,923,0.87257662,9.256620011,12.93058636,0
246,13.45737088,12365,3.20,6182.38,32294,73292,1.623150404,,938,1.614910573,5.950430623,26.37644692,1
247,9.587709177,11148,2.27,5573.83,16886,62868,1.610831568,,594,1.279720562,5.893613257,18.79190999,1
248,6.651623862,9039,2.18,4519.74,35432,38883,1.460906371,72,830,1.363361563,6.779796218,12.63808534,1
249,10.26900308,13731,2.70,,35346,59790,1.604839248,,1162,0.647151332,7.90934112,19.71648591,0
250,9.14807781,14475,7.15,,21452,79827,2.801989229,,1068,0.855436557,7.368627742,17.38134784,0
251,15.84489787,5880,4.82,,22057,68602,2.168838798,,774,1.043516225,7.338412981,30.73910187,1
